,rank,discipline,yrs.since.phd,yrs.service,sex,salary
192,Prof,B,43,22,Male,133700
200,Prof,B,38,22,Male,114500
218,AssocProf,B,29,22,Male,105350
257,Prof,A,22,22,Male,140300
37,Prof,B,22,21,Male,155750
57,Prof,B,23,21,Male,117704
156,Prof,B,21,21,Male,118971
221,Prof,B,21,21,Male,170000
356,Prof,B,25,21,Male,145028
385,Prof,A,27,21,Male,125192
9,Prof,B,21,20,Male,119250
17,Prof,B,19,20,Male,101000
83,Prof,B,22,20,Male,144640
95,Prof,B,21,20,Male,123683
174,Prof,B,20,20,Male,134185
210,Prof,B,20,20,Male,163200
224,Prof,B,34,20,Male,129600
226,Prof,A,20,20,Male,122400
354,Prof,B,22,20,Male,138000
372,Prof,A,23,20,Male,110515
24,Prof,A,24,19,Male,113068
45,Prof,B,19,19,Male,94384
48,Prof,B,23,19,Female,151768
73,Prof,B,29,19,Male,100131
78,Prof,B,26,19,Male,193000
162,Prof,B,26,19,Male,176500
168,Prof,B,18,19,Male,130664
172,Prof,B,19,19,Male,151575
190,Prof,B,25,19,Male,153750
194,AssocProf,B,19,19,Male,86250
214,Prof,B,26,19,Male,126200
233,Prof,A,38,19,Male,148750
234,Prof,A,36,19,Female,117555
313,Prof,A,29,19,Male,94350
334,Prof,B,33,19,Male,145098
375,Prof,A,27,19,Male,103275
391,Prof,A,40,19,Male,166605
392,Prof,A,30,19,Male,151292
394,Prof,A,31,19,Male,150564
1,Prof,B,19,18,Male,139750
10,Prof,B,18,18,Female,129000
15,Prof,B,20,18,Male,104800
85,Prof,B,17,18,Female,122960
136,Prof,A,20,18,Male,136000
140,Prof,A,21,18,Male,152664
157,AssocProf,B,12,18,Male,113341
170,Prof,B,25,18,Male,181257
193,Prof,B,19,18,Male,122100
208,Prof,B,18,18,Male,120000
248,Prof,A,21,18,Male,101100
272,Prof,A,42,18,Male,194800
279,Prof,A,24,18,Male,107100
297,Prof,A,18,18,Male,126300
390,Prof,A,33,18,Male,186023
69,Prof,B,17,17,Female,111512
203,Prof,B,28,17,Male,160400
204,Prof,B,17,17,Male,152500
236,Prof,A,28,17,Male,81700
342,Prof,B,17,17,Female,124312
364,AssocProf,A,20,17,Male,81285
2,Prof,B,20,16,Male,173200
82,Prof,B,17,16,Male,135585
111,Prof,A,20,16,Male,112429
112,AssocProf,A,19,16,Male,82100
160,Prof,B,15,16,Male,137167
167,Prof,B,16,16,Male,167284
302,Prof,A,27,16,Male,127100
319,Prof,B,16,16,Male,134550
46,Prof,B,25,15,Male,114778
310,Prof,A,22,15,Male,166800
320,Prof,B,16,15,Male,135027
324,Prof,B,24,15,Female,161101
327,Prof,B,23,15,Male,124714
340,Prof,B,37,15,Male,137317
362,Prof,A,23,15,Female,109646
388,Prof,A,29,15,Male,109305
396,Prof,A,25,15,Male,95329
86,Prof,B,15,14,Male,132825
99,Prof,B,30,14,Male,102235
104,Prof,B,20,14,Female,127512
121,Prof,A,14,14,Male,115313
137,Prof,A,16,14,Male,108262
138,Prof,A,17,14,Male,105668
179,Prof,B,27,14,Male,147349
359,Prof,A,28,14,Female,109954
303,Prof,A,28,13,Male,170500
67,Prof,B,22,12,Male,101000
97,AssocProf,B,17,12,Male,95611
151,Prof,B,14,12,Male,128148
253,Prof,A,31,12,Male,132000
338,Prof,B,13,12,Male,145000
52,Prof,B,12,11,Male,108875
55,AssocProf,B,12,11,Male,103760
64,AssocProf,B,11,11,Female,103613
143,Prof,A,19,11,Male,106608
181,Prof,B,11,11,Male,142467
216,Prof,B,16,11,Male,145350
217,Prof,B,15,11,Male,146000
220,Prof,B,13,11,Male,119500
229,Prof,A,16,11,Male,88175
246,Prof,A,17,11,Female,90450
298,Prof,A,17,11,Male,148800
323,AssocProf,B,13,11,Male,126431
341,Prof,B,13,11,Male,106231
361,Prof,A,14,11,Male,121946
105,AssocProf,A,18,10,Male,83850
142,AssocProf,A,15,10,Male,81500
154,AssocProf,B,12,10,Female,103994
187,AssocProf,B,13,10,Female,103750
188,Prof,B,18,10,Male,107500
222,Prof,B,23,10,Male,145200
268,Prof,A,14,10,Male,104350
329,AssocProf,B,10,10,Male,99247
333,Prof,B,18,10,Female,105450
346,Prof,B,15,10,Male,107986
367,Prof,A,15,10,Male,115435
33,Prof,B,13,9,Male,117256
40,AssocProf,B,9,9,Male,100938
54,Prof,B,16,9,Male,106639
59,AssocProf,B,10,9,Male,100135
116,Prof,A,21,9,Male,120806
131,AssocProf,A,11,9,Male,83001
153,Prof,B,21,9,Male,111168
178,AssocProf,B,13,9,Male,100944
191,Prof,B,22,9,Male,180000
293,Prof,A,39,9,Male,183800
312,Prof,A,14,9,Male,108100
317,AssocProf,B,12,9,Female,71065
322,AssocProf,B,9,9,Male,95642
332,Prof,B,20,9,Male,116518
386,Prof,A,15,9,Male,114330
11,AssocProf,B,12,8,Male,119800
25,AssocProf,A,13,8,Female,74830
26,Prof,A,21,8,Male,106294
30,Prof,B,12,8,Male,118223
58,AssocProf,B,9,8,Male,90215
61,AssocProf,B,9,8,Male,90304
66,AssocProf,B,9,8,Male,100522
107,AssocProf,A,11,8,Male,82099
108,AssocProf,A,10,8,Male,82600
109,AssocProf,A,15,8,Male,81500
133,AssocProf,A,10,8,Female,77500
141,AssocProf,A,14,8,Male,100102
166,Prof,B,21,8,Male,105890
183,AssocProf,B,8,8,Male,100000
252,Prof,A,20,8,Male,102000
256,AssocProf,A,12,8,Male,83000
371,AssocProf,A,13,8,Male,78182
380,AssocProf,A,11,8,Male,104121
90,AssocProf,B,9,7,Male,107008
92,AssocProf,B,10,7,Male,105128
93,AssocProf,B,10,7,Male,105631
98,Prof,B,13,7,Male,129676
139,AssocProf,A,10,7,Male,73877
163,AssocProf,B,22,7,Male,98510
177,AssocProf,B,10,7,Male,95436
196,AssocProf,B,9,7,Male,113600
213,Prof,B,15,7,Male,128400
219,AssocProf,B,14,7,Female,109650
228,AssocProf,A,9,7,Male,70000
250,Prof,A,29,7,Male,204000
255,Prof,A,28,7,Female,116450
270,Prof,A,13,7,Male,103700
291,Prof,A,33,7,Male,174500
295,Prof,A,19,7,Male,107300
311,Prof,A,20,7,Male,92050
373,Prof,A,12,7,Male,109707
6,AssocProf,B,6,6,Male,97000
159,AssocProf,B,6,6,Male,95408
169,AssocProf,B,8,6,Male,101210
175,AssocProf,B,17,6,Male,105000
223,AssocProf,B,13,6,Male,107150
238,AsstProf,A,7,6,Female,63100
240,Prof,A,19,6,Male,96200
276,Prof,A,12,6,Male,93000
285,AssocProf,A,8,6,Male,88650
315,Prof,A,22,6,Male,146800
335,AssocProf,B,19,6,Female,104542
56,AssocProf,B,14,5,Male,83900
91,AsstProf,B,10,5,Female,97032
103,Prof,B,16,5,Male,153303
171,AsstProf,B,5,5,Male,91227
182,Prof,B,18,5,Male,141136
205,Prof,B,19,5,Male,165000
290,AsstProf,A,8,5,Male,74000
383,AssocProf,A,8,5,Male,86895
31,Prof,B,20,4,Male,132261
38,AsstProf,B,7,4,Male,86373
147,AsstProf,B,4,4,Male,92000
152,AsstProf,B,4,4,Male,92000
197,AsstProf,B,4,4,Male,92700
198,AsstProf,B,4,4,Male,92000
201,AsstProf,B,4,4,Male,92700
274,AsstProf,A,8,4,Male,74000
304,Prof,A,14,4,Male,105260
307,AsstProf,A,7,4,Male,74500
326,AsstProf,B,8,4,Male,84500
360,AsstProf,A,11,4,Male,78785
397,AsstProf,A,8,4,Male,81035
3,AsstProf,B,4,3,Male,79750
16,Prof,B,12,3,Male,117150
28,AsstProf,B,5,3,Male,82379
53,AsstProf,B,11,3,Female,74692
60,AsstProf,B,8,3,Male,75044
65,AsstProf,B,4,3,Male,68404
76,AsstProf,B,8,3,Male,73266
77,Prof,B,17,3,Male,150480
120,AsstProf,A,5,3,Female,73500
144,AsstProf,B,3,3,Male,89942
150,AsstProf,B,4,3,Male,95079
164,AsstProf,B,3,3,Male,89942
180,AsstProf,B,3,3,Female,92000
211,AsstProf,B,4,3,Male,91000
235,AsstProf,A,8,3,Male,69700
241,AsstProf,A,5,3,Male,69200
259,AsstProf,A,9,3,Male,73800
275,AsstProf,A,8,3,Female,78500
316,AsstProf,B,6,3,Male,84716
349,AsstProf,B,4,3,Male,80139
378,AsstProf,A,6,3,Male,77081
381,AsstProf,A,8,3,Male,75996
12,AsstProf,B,7,2,Male,79800
32,AsstProf,B,7,2,Male,79916
34,AsstProf,B,4,2,Male,80225
35,AsstProf,B,4,2,Female,80225
41,Prof,B,23,2,Male,146500
62,AsstProf,B,3,2,Male,75243
71,Prof,B,17,2,Male,126320
80,AsstProf,B,6,2,Male,84240
84,AsstProf,B,6,2,Male,88825
88,AsstProf,B,2,2,Male,88400
130,AsstProf,A,4,2,Male,73000
161,AsstProf,B,2,2,Male,89516
206,Prof,B,21,2,Male,96545
209,AsstProf,B,7,2,Male,91300
254,AsstProf,A,4,2,Female,77500
13,AsstProf,B,1,1,Male,77700
50,AsstProf,B,1,1,Male,70768
79,AsstProf,B,3,1,Male,86100
113,AsstProf,A,3,1,Male,72500
119,AsstProf,A,4,1,Male,72500
134,AsstProf,A,3,1,Female,72500
215,AssocProf,B,11,1,Male,118700
227,AsstProf,A,3,1,Male,63900
273,AsstProf,A,4,1,Male,73000
294,AssocProf,A,11,1,Male,104800
355,AsstProf,B,8,1,Male,83600
368,AssocProf,A,10,1,Male,108413
377,AsstProf,A,4,1,Male,74856
14,AsstProf,B,2,0,Male,78000
29,AsstProf,B,11,0,Male,77000
36,AsstProf,B,5,0,Female,77000
96,AsstProf,B,4,0,Male,84000
115,Prof,A,12,0,Female,105000
128,AsstProf,A,2,0,Female,72500
155,AsstProf,B,4,0,Male,92000
158,AsstProf,B,1,0,Male,88000
165,AsstProf,B,1,0,Male,88795
288,AsstProf,A,2,0,Male,85000
309,AsstProf,A,5,0,Male,74000
